N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name,average_steps,parameters
1000,11534681,-1.50982467,0.0001589275,0,7.31851589714,Intel Xeon Gold 6248,Random,469.6803,
1000,11605451,-1.49637736,0.0001595016,0,7.34495285725,Intel Xeon Gold 6248,Random,470.6257,
1000,11679033,-1.47093102,0.0001571969,0,7.23882280683,Intel Xeon Gold 6248,Random,464.4883,
1000,11777311,-1.48698391,0.0001575911,0,7.25697548,Intel Xeon Gold 6248,Random,463.8434,
1000,11802495,-1.50855083,0.000158058,0,7.27847594451,Intel Xeon Gold 6248,Random,470.9959,
1000,11915411,-1.49043055,0.0001585473,0,7.30100791555,Intel Xeon Gold 6248,Random,466.9836,
1000,11960737,-1.50453399,0.0001578521,0,7.26899437321,Intel Xeon Gold 6248,Random,469.987,
1000,12088959,-1.50969369,0.0001581589,0,7.28312232889,Intel Xeon Gold 6248,Random,468.7692,
1000,12238274,-1.48132857,0.0001572188,0,7.23983128867,Intel Xeon Gold 6248,Random,465.7048,
1000,12476934,-1.49905705,0.0001575357,0,7.25442434329,Intel Xeon Gold 6248,Random,469.6924,
1000,12520071,-1.48354226,0.0001579758,0,7.27469068389,Intel Xeon Gold 6248,Random,469.4895,
1000,12531925,-1.48926957,0.0001570067,0,7.23006421109,Intel Xeon Gold 6248,Random,466.1416,
1000,12600313,-1.51689309,0.0001583466,0,7.29176580113,Intel Xeon Gold 6248,Random,468.4553,
1000,12876033,-1.49178531,0.0001570569,0,7.23237589093,Intel Xeon Gold 6248,Random,468.17,
1000,12948253,-1.46833259,0.0001568915,0,7.2247593203,Intel Xeon Gold 6248,Random,466.9722,
1000,13046662,-1.53207138,0.0001572471,0,7.24113448667,Intel Xeon Gold 6248,Random,468.8967,
1000,13183385,-1.45508687,0.0001574511,0,7.25052856411,Intel Xeon Gold 6248,Random,471.369,
1000,13232651,-1.48547995,0.0001578426,0,7.26855690391,Intel Xeon Gold 6248,Random,468.2842,
1000,13392517,-1.49340525,0.0001578011,0,7.26664585384,Intel Xeon Gold 6248,Random,469.0314,
1000,13414790,-1.51028843,0.0001576129,0,7.25797935691,Intel Xeon Gold 6248,Random,464.2794,
1000,13551483,-1.49571419,0.000157992,0,7.27543668416,Intel Xeon Gold 6248,Random,465.373,
1000,13753649,-1.48697377,0.0001572557,0,7.2415305115,Intel Xeon Gold 6248,Random,473.0472,
1000,13928994,-1.4808563,0.0001576589,0,7.26009762927,Intel Xeon Gold 6248,Random,467.5107,
1000,14030140,-1.47975567,0.0001558629,0,7.17739290824,Intel Xeon Gold 6248,Random,464.4666,
1000,14066739,-1.48827884,0.0001577058,0,7.2622573461,Intel Xeon Gold 6248,Random,468.6409,
1000,14106527,-1.51387707,0.0001570988,0,7.23430536076,Intel Xeon Gold 6248,Random,465.8669,
1000,14207659,-1.45067586,0.0001573917,0,7.2477932298,Intel Xeon Gold 6248,Random,472.2449,
1000,14230092,-1.487473,0.0001575675,0,7.25588871418,Intel Xeon Gold 6248,Random,468.4058,
1000,14265803,-1.46272004,0.0001571641,0,7.23731238653,Intel Xeon Gold 6248,Random,469.1833,
1000,14280208,-1.48993073,0.0001563515,0,7.19989264471,Intel Xeon Gold 6248,Random,467.6448,
1000,14441004,-1.49466785,0.0001578401,0,7.26844178041,Intel Xeon Gold 6248,Random,471.0526,
1000,14542852,-1.51544757,0.0001572824,0,7.24276003046,Intel Xeon Gold 6248,Random,468.8717,
1000,14547212,-1.48613124,0.0001552341,0,7.148437046,Intel Xeon Gold 6248,Random,467.0397,
1000,14550708,-1.48630944,0.0001575176,0,7.25359084916,Intel Xeon Gold 6248,Random,470.488,
1000,14772102,-1.52097657,0.0001574614,0,7.25100287292,Intel Xeon Gold 6248,Random,468.3424,
1000,15011482,-1.51488068,0.0001563921,0,7.20176225032,Intel Xeon Gold 6248,Random,467.8434,
1000,15037000,-1.49799838,0.0001563673,0,7.20062022522,Intel Xeon Gold 6248,Random,465.5867,
1000,15345480,-1.54387665,0.0001573445,0,7.24561969815,Intel Xeon Gold 6248,Random,469.485,
1000,15446758,-1.5263133,0.0001567057,0,7.21620334192,Intel Xeon Gold 6248,Random,465.4164,
1000,15509635,-1.4439278,0.0001579423,0,7.27314802902,Intel Xeon Gold 6248,Random,471.8074,
1000,15570002,-1.47951508,0.000156442,0,7.20406011534,Intel Xeon Gold 6248,Random,469.0713,
1000,15709809,-1.46760084,0.0001574291,0,7.24951547733,Intel Xeon Gold 6248,Random,469.1285,
1000,15755754,-1.49272918,0.000156971,0,7.22842024754,Intel Xeon Gold 6248,Random,469.7738,
1000,15763085,-1.45070846,0.0001579829,0,7.27501763463,Intel Xeon Gold 6248,Random,469.5517,
1000,15924209,-1.49994014,0.0001563375,0,7.19924795312,Intel Xeon Gold 6248,Random,467.5366,
1000,15981934,-1.49595759,0.0001575492,0,7.25504601018,Intel Xeon Gold 6248,Random,470.1134,
1000,16164239,-1.49039645,0.0001558736,0,7.17788563682,Intel Xeon Gold 6248,Random,465.8179,
1000,16173523,-1.50011176,0.0001565754,0,7.2102031052,Intel Xeon Gold 6248,Random,467.991,
1000,16248991,-1.48567802,0.0001575728,0,7.256132776,Intel Xeon Gold 6248,Random,471.182,
1000,16319112,-1.51220322,0.0001563652,0,7.20052352148,Intel Xeon Gold 6248,Random,463.5252,
1000,16350340,-1.5124217,0.0001572389,0,7.24075688159,Intel Xeon Gold 6248,Random,470.4949,
1000,16516882,-1.48859392,0.0001571351,0,7.23597695395,Intel Xeon Gold 6248,Random,470.3087,
1000,16577430,-1.48745469,0.0001569096,0,7.22559281443,Intel Xeon Gold 6248,Random,470.3034,
1000,16600400,-1.48388323,0.0001569466,0,7.2272966422,Intel Xeon Gold 6248,Random,471.9324,
1000,16609733,-1.50938467,0.0001557961,0,7.17431680838,Intel Xeon Gold 6248,Random,466.2725,
1000,16657501,-1.49760253,0.0001558638,0,7.1774343527,Intel Xeon Gold 6248,Random,467.8535,
1000,16678332,-1.50142881,0.0001557469,0,7.17205117793,Intel Xeon Gold 6248,Random,471.3448,
1000,16695257,-1.48672714,0.0001587343,0,7.30961915321,Intel Xeon Gold 6248,Random,470.6742,
2744,502033,-1.45288724,0.0002944152,0,13.5576430861,Intel Xeon Gold 6248,Random,1284.8321,
2744,3210623,-1.48595692,0.0002953176,0,13.5991980639,Intel Xeon Gold 6248,Random,1290.4861,
