N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name
100,1101783,-0.70662901,0.000100604,0.001,0.100604,Linux x86_64,Greedy
100,1101786,-0.75315844,0.000104352,0.001,0.104352,Linux x86_64,Greedy
100,1101789,-0.73306044,0.000103145,0.001,0.103145,Linux x86_64,Greedy
100,1101792,-0.73091486,0.000100567,0.001,0.100567,Linux x86_64,Greedy
100,1101795,-0.72806422,0.000103075,0.001,0.103075,Linux x86_64,Greedy
100,1101798,-0.72107293,0.00010145,0.001,0.10145,Linux x86_64,Greedy
100,1101801,-0.77959045,0.000104698,0.001,0.104698,Linux x86_64,Greedy
100,1101804,-0.74748734,0.000103301,0.003,0.0344336666667,Linux x86_64,Greedy
100,1101807,-0.73635223,0.000103613,0.001,0.103613,Linux x86_64,Greedy
100,1101810,-0.72323354,0.000107752,0.001,0.107752,Linux x86_64,Greedy
100,1101813,-0.72769235,0.000101333,0.001,0.101333,Linux x86_64,Greedy
100,1101816,-0.7012028,0.000101243,0.001,0.101243,Linux x86_64,Greedy
100,1101819,-0.73943931,0.000106393,0.002,0.0531965,Linux x86_64,Greedy
100,1101822,-0.74900055,0.000104448,0.001,0.104448,Linux x86_64,Greedy
100,1101825,-0.72049975,0.000102878,0.001,0.102878,Linux x86_64,Greedy
100,1101828,-0.71397242,0.000105073,0.002,0.0525365,Linux x86_64,Greedy
100,1101831,-0.73790625,0.000102163,0.001,0.102163,Linux x86_64,Greedy
100,1101834,-0.72949059,0.000103037,0.001,0.103037,Linux x86_64,Greedy
100,1101837,-0.71715724,0.00010301,0.001,0.10301,Linux x86_64,Greedy
100,1101840,-0.6935369,0.000103193,0.001,0.103193,Linux x86_64,Greedy
100,1101843,-0.72370554,0.00010468,0.001,0.10468,Linux x86_64,Greedy
100,1101846,-0.7113577,0.000102894,0.001,0.102894,Linux x86_64,Greedy
100,1101849,-0.74762634,0.000105879,0.001,0.105879,Linux x86_64,Greedy
100,1101852,-0.74452452,0.000105364,0.001,0.105364,Linux x86_64,Greedy
100,1101855,-0.79419296,0.000105853,0.001,0.105853,Linux x86_64,Greedy
100,1101858,-0.73131496,0.000105613,0.001,0.105613,Linux x86_64,Greedy
100,1101861,-0.71794123,0.000102342,0.001,0.102342,Linux x86_64,Greedy
100,1101864,-0.71391041,0.000110823,0.001,0.110823,Linux x86_64,Greedy
100,1101867,-0.76150734,0.000104108,0.002,0.052054,Linux x86_64,Greedy
100,1101870,-0.71627152,0.000106421,0.002,0.0532105,Linux x86_64,Greedy
100,1101873,-0.72277705,0.000105478,0.001,0.105478,Linux x86_64,Greedy
100,1101876,-0.71836183,0.000102414,0.001,0.102414,Linux x86_64,Greedy
